labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA
### pack0,83,1465
prgtxtoky,Ok,Ok,Ok,オーケー,Aceptar,Ok,Ok,Ok
prgtxtcnc,Cancel,Abbruch,Annuleren,キャンセル,Cancelar,İptal,Cancelar,Annulla
prgtxtbrw,Browse...,Wählen...,Bladeren...,せんたく...,Explorar...,Gözat…...,Buscar…,Sfoglia
prgtxtfnx,Find next,Suchen,Volgende zoeken,ファインド ネクスト,Siguiente,Sonrakini bul,Localizar,Trova succ.
prgtxtfrp,Replace,Ersetzen,Vervangen,リプレイス,Reemplazar,Değiştir,Substituir,Sostituisci
prgtxtfra,Replace all,Alle ersetz.,Alles vervangen,リプレイス オール,Reempl.todo,Tümünü değiştir,Subst. tudo,Sost. tutto
prgtxtinf1,Wordpad for SymbOS,Wordpad für SymbOS,Wordpad voor SymbOS,ワードパッド for SymbOS,Wordpad para SymbOS,SymbOS için Wordpad,Wordpad para SymbOS,Wordpad per SymbOS
prgtxtinf3, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS,コピーライト <c> ２０２５ SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS, Copyright <c> 2025 SymbiosiS
_edtchgm,Lin Col Siz Mrk ,Zei Spa Grö Mrk ,Reg Kol Gro Mkr ,リン コル シズ マーク,Lín Col Tam Mrc ,Sat Süt Boy Mrk ,Lin Col Tam Mrc ,Lin Col Dim Seg 
prgtxterra,Textbuffer full. Only a part of,Textspeicher voll. Nur ein,Tekstbuffer vol. Slechts een deel van,テキストバッファー が いっぱい です。,Búfer de texto lleno. Solo parte,Metin arabelleği dolu. Belgenin,Buffer de texto cheio. Apenas parte,Buffer pieno. Solo una parte
prgtxterrb,the document has been loaded.,Teil konnte geladen werden.,document geladen.,ドキュメント の いちぶ だけ が ロード されました。,del documento ha sido cargado.,yalnızca bir kısmı yüklendi.,do documento foi carregado.,del documento è stata caricata.
prgtxterrc,Error while loading file!,Fehler beim Laden!,Fout bij laden van bestand!,ファイル ロード エラー！,¡Error al cargar archivo!,Dosya yüklenirken hata!,Erro ao carregar arquivo!,Errore di lettura del file!
prgtxterrd,Error while saving file!,Fehler beim Speichern!,Fout bij opslaan van bestand!,ファイル セーブ エラー！,¡Error al guardar archivo!,Dosya kaydedilirken hata!,Erro ao salvar arquivo!,Errore di salvataggio del file!
prgtxterrh,Error while loading font!,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,Erro ao carregar fonte!,Errore di lettura del font!
prgtxterre,Device full. Only a part of,Datenträger voll. Nur ein Teil,Apparaat vol.Slechts een deel van,デバイス が いっぱい です。,Dispositivo lleno. Solo parte del,Aygıt dolu. Belgenin yalnızca,Dispositivo cheio. Apenas parte,Dispositivo pieno. Solo un  parte del
prgtxterrf,the document has been saved.,konnte gespeichert werden.,document opgeslagen.,ドキュメント の いちぶ だけ が セーブ されました。,documento ha sido guardado.,bir kısmı kaydedildi.,do documento foi salvo.,documento è stata salvata.
prgtxterrg,Printer Daemon not found.,Kein Printer Daemon.,Printer Daemon niet gevonden.,プリンター デーモン が みつかりません。,Sin Printer Daemon.,Yazıcı Servisi bulunamadı.,Servidor de impressão não encontrado.,Daemon di stampa non trovato.
prgtxtsav1,Save changes?,Änderungen speichern?,Wijzigingen opslaan?,ヘンこう を セーブ しますか？,Guardar cambios?,Değişiklikleri kaydet?,Salvar alterações?,Salvare le modifiche?
fnttxtdef,Default,Standard,Standaard,デフォルト,Por defecto,Varsayılan,Padrão,Default
fnttxtext,[Loaded],[Geladen],#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,[Carregado],[Loaded]
txtcfgfnt,Font,Schriftart,Lettertype,フォント,Fuente,Font ,Fonte,Font
txtcfgopt,Options,Optionen,Opties,オプション,Opciones,Seçenekler,Opções,Opzioni
cfgwintit,Settings,Einstellungen,Instellingen,セッティング,Opciones,Ayarlar,Configurações,Impostazioni
cfgwintxt0,Font type,Schriftart,Lettertype,フォント タイプ,Tipo de fuente,Font tipi,Tipo de fonte,Tipo font
